レポート開始日,レポート終了日,広告名,広告配信,結果,結果インジケーター,結果の単価,広告セットの予算,広告セットの予算タイプ,"消化金額 (JPY)",インプレッション,リーチ,終了日時,アトリビューション設定,入札,入札タイプ,前回の大きな変更,品質ランキング,エンゲージメント率ランキング,コンバージョン率ランキング,広告セット名,結果(最初),結果(初期)インジケーター
2026-08-04,2026-09-02,広告B（動画①）,not_delivering,3,actions:leadgen.other,1111,キャンペーン予算を使用,0,3333,2686,1971,2026-08-22,クリックから7日間、または表示から1日間,0,ABSOLUTE_OCPM,2026-08-21T05:30:07+0900,―,―,―,新しいリード広告セット,,
2026-08-04,2026-09-02,広告A（動画②）,not_delivering,2,actions:leadgen.other,521,キャンペーン予算を使用,0,1042,1630,1129,2026-08-22,クリックから7日間、または表示から1日間,0,ABSOLUTE_OCPM,2026-08-21T05:30:07+0900,―,―,―,新しいリード広告セット,,
2026-08-04,2026-09-02,広告C（画像①）,not_delivering,,,,キャンペーン予算を使用,0,70,131,109,2026-08-22,クリックから7日間、または表示から1日間,0,ABSOLUTE_OCPM,2026-08-21T05:30:07+0900,―,―,―,新しいリード広告セット,,
2026-08-04,2026-09-02,広告C（画像②）,not_delivering,,,,キャンペーン予算を使用,0,1,5,5,2026-08-22,クリックから7日間、または表示から1日間,0,ABSOLUTE_OCPM,2026-08-21T05:30:07+0900,―,―,―,新しいリード広告セット,,
2026-08-04,2026-09-02,広告C（画像④）,not_delivering,,,,キャンペーン予算を使用,0,1,1,1,2026-08-22,クリックから7日間、または表示から1日間,0,ABSOLUTE_OCPM,2026-08-21T05:30:07+0900,―,―,―,新しいリード広告セット,,
2026-08-04,2026-09-02,広告C（画像④）,archived,,,,キャンペーン予算を使用,0,283,714,654,継続,クリックから7日間、または表示から1日間,0,ABSOLUTE_OCPM,2026-08-22T13:24:26+0900,―,―,―,新しいリード広告セット(電話）,,
2026-08-04,2026-09-02,広告C（画像③）,archived,,,,キャンペーン予算を使用,0,127,388,346,継続,クリックから7日間、または表示から1日間,0,ABSOLUTE_OCPM,2026-08-22T13:24:26+0900,―,―,―,新しいリード広告セット(電話）,,
2026-08-04,2026-09-02,広告C（画像②）,active,1,actions:click_to_call_native_call_placed,2093,キャンペーン予算を使用,0,2093,6687,3907,継続,クリックから7日間、または表示から1日間,0,ABSOLUTE_OCPM,2026-08-22T13:24:26+0900,平均,―,―,新しいリード広告セット(電話）,,
2026-08-04,2026-09-02,広告A（動画②）,active,7,actions:click_to_call_native_call_placed,2333,キャンペーン予算を使用,0,16331,22502,10771,継続,クリックから7日間、または表示から1日間,0,ABSOLUTE_OCPM,2026-08-22T13:24:26+0900,平均,―,―,新しいリード広告セット(電話）,,
2026-08-04,2026-09-02,広告B（動画①）,archived,1,actions:click_to_call_native_call_placed,698,キャンペーン予算を使用,0,698,529,449,継続,クリックから7日間、または表示から1日間,0,ABSOLUTE_OCPM,2026-08-22T13:24:26+0900,―,―,―,新しいリード広告セット(電話）,,
2026-08-04,2026-09-02,広告C（画像①）,active,3,actions:click_to_call_native_call_placed,1379.66666667,キャンペーン予算を使用,0,4139,12576,5938,継続,クリックから7日間、または表示から1日間,0,ABSOLUTE_OCPM,2026-08-22T13:24:26+0900,平均以上,―,―,新しいリード広告セット(電話）,,
2026-08-04,2026-09-02,"広告A（動画③  ）",active,,,,キャンペーン予算を使用,0,1769,2031,1218,継続,クリックから7日間、または表示から1日間,0,ABSOLUTE_OCPM,2026-08-22T13:24:26+0900,平均,―,―,新しいリード広告セット(電話）,,
